date,case
2020-11-28,1370
2020-11-29,1431
2020-11-30,1099
2020-12-01,1058
2020-12-02,1166
2020-12-03,1153
2020-12-04,1032
2020-12-05,1360
2020-12-06,1331
2020-12-07,1466
2020-12-08,1174
2020-12-09,1237
2020-12-10,1180
2020-12-11,1232
2020-12-12,951
2020-12-13,1298
2020-12-14,1566
2020-12-15,1057
2020-12-16,1221
2020-12-17,1690
2020-12-18,1587
2020-12-19,1899
2020-12-20,1592
2020-12-21,1466
2020-12-22,1311
2020-12-23,1954
2020-12-24,1933
2020-12-25,2096
2020-12-26,2058
2020-12-27,1997
2020-12-28,1678
2020-12-29,2056
2020-12-30,2053
2020-12-31,2022
2021-01-01,1956
2021-01-02,1895
2021-01-03,1657
2021-01-04,1832
2021-01-05,1824
2021-01-06,2402
2021-01-07,2398
2021-01-08,2959
2021-01-09,2753
2021-01-10,2711
2021-01-11,2461
2021-01-12,2669
2021-01-13,3476
2021-01-14,3165
2021-01-15,2541
2021-01-16,3536
2021-01-17,3395
2021-01-18,2361
2021-01-19,2563
2021-01-20,3786
2021-01-21,3151
2021-01-22,3792
2021-01-23,3285
2021-01-24,3512
2021-01-25,2451
2021-01-26,2314
2021-01-27,1836
2021-01-28,2889
2021-01-29,3448
2021-01-30,3491
2021-01-31,3474
2021-02-01,3614
2021-02-02,3362
2021-02-03,3567
2021-02-04,3632
2021-02-05,3340
2021-02-06,2379
2021-02-07,4213
2021-02-08,3144
2021-02-09,3437
2021-02-10,3309
2021-02-11,2514
2021-02-12,3810
2021-02-13,3018
2021-02-14,2496
2021-02-15,1879
2021-02-16,1861
2021-02-17,1445
2021-02-18,373
2021-02-19,1920
2021-02-20,2872
2021-02-21,2720
2021-02-22,2471
2021-02-23,782
2021-02-24,782
2021-02-25,1581
2021-02-26,1661
2021-02-27,1737
2021-02-28,2098
2021-03-01,2058
2021-03-02,578
2021-03-03,1437
2021-03-04,2008
2021-03-05,1159
2021-03-06,1616
2021-03-07,1834
2021-03-08,1783
2021-03-09,867
2021-03-10,1040
2021-03-11,1754
2021-03-12,1873
2021-03-13,1034
2021-03-14,1204
2021-03-15,1555
2021-03-16,835
2021-03-17,1330
2021-03-18,1719
2021-03-19,1588
2021-03-20,1937
2021-03-21,1638
2021-03-22,1474
2021-03-23,815
2021-03-24,890
2021-03-25,1726
2021-03-26,1381
2021-03-27,1354
2021-03-28,1470
2021-03-29,1014
2021-03-30,384
2021-03-31,965
2021-04-01,1337
2021-04-02,1240
2021-04-03,1098
2021-04-04,736
2021-04-05,523
2021-04-06,487
2021-04-07,862
2021-04-08,1239
2021-04-09,1013
2021-04-10,977
2021-04-11,1031
2021-04-12,692
2021-04-13,828
2021-04-14,661
2021-04-15,1330
2021-04-16,979
2021-04-17,1037
2021-04-18,950
2021-04-19,973
2021-04-20,460
2021-04-21,602
2021-04-22,1266
2021-04-23,884
2021-04-24,907
2021-04-25,896
2021-04-26,749
2021-04-27,393
2021-04-28,639
2021-04-29,987
2021-04-30,789
2021-05-01,926
2021-05-02,854
2021-05-03,757
2021-05-04,416
2021-05-05,845
2021-05-06,905
2021-05-07,783
2021-05-08,732
2021-05-09,809
2021-05-10,694
2021-05-11,406
2021-05-12,656
2021-05-13,785
2021-05-14,632
